Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term (months),Default_Status (Yes/No)
100800,25,135194,31616,444,12,No
100801,61,115790,24333,313,24,No
100802,32,166612,9261,545,36,No
100803,46,92255,8466,486,60,No
100804,54,192275,8088,636,36,No
100805,34,176153,6115,558,60,No
100806,46,31350,9578,339,24,No
100807,47,76809,7590,717,24,No
100808,29,121894,12372,650,24,No
100809,46,117557,8573,308,12,No
100810,42,193904,7978,649,36,No
100811,50,179441,48407,383,60,No
100812,63,51728,14422,832,24,No
100813,37,37576,48626,657,24,No
100814,46,180073,28697,677,60,No
100815,56,103384,35820,471,36,Yes
100816,21,20390,42743,324,36,Yes
100817,28,65436,9925,692,60,Yes
100818,55,31569,34430,402,48,No
100819,35,164101,33834,535,36,No
100820,42,42490,29435,709,60,No
100821,34,65875,26676,848,60,No
100822,46,25867,48554,631,24,No
100823,48,100820,24814,831,60,No
100824,43,119515,19716,328,12,No
100825,34,29121,32528,842,24,No
100826,44,21539,6995,318,24,Yes
100827,22,168099,27414,447,36,Yes
100828,46,147402,18844,770,48,Yes
100829,34,94229,41659,790,36,No
100830,27,159993,20522,582,12,No
100831,23,70435,44913,412,24,No
100832,43,161382,13498,754,24,No
100833,63,83965,47322,629,60,No
100834,38,131048,7102,554,48,Yes
100835,58,116444,40798,698,48,Yes
100836,55,89922,13524,807,60,No
100837,35,117799,35846,765,12,No
100838,45,113948,13107,706,48,No
100839,57,163314,23268,397,24,No
100840,48,28947,29399,589,12,No
100841,30,68785,14624,455,36,No
100842,59,139963,32126,461,36,No
100843,37,20507,28131,396,12,No
100844,59,178223,25714,676,24,Yes
100845,42,31618,45631,749,36,No
100846,46,94286,40877,416,24,No
100847,64,36122,23570,805,60,No
100848,45,158426,17482,488,48,No
100849,37,129598,39318,775,12,Yes
100850,33,182051,38414,622,48,No
100851,40,106436,26040,479,60,Yes
100852,45,156109,18407,480,36,No
100853,24,48633,38305,586,24,Yes
100854,30,44495,19166,774,24,No
100855,23,84550,11572,561,60,No
100856,61,56483,38002,822,12,No
100857,38,133181,31972,461,48,Yes
100858,56,54069,47464,786,36,No
100859,42,158442,27923,480,12,Yes
100860,54,139873,6909,768,60,No
100861,28,136843,49918,320,60,Yes
100862,60,91947,37848,574,24,No
100863,64,190205,7083,559,36,No
100864,39,115761,22140,632,12,No
100865,62,133753,7670,765,24,No
100866,61,151764,41519,415,36,No
100867,57,48926,49512,712,48,No
100868,26,119782,43029,836,48,No
100869,46,124700,19691,556,24,Yes
100870,54,93984,44620,467,12,No
100871,26,194462,39262,832,36,No
100872,57,69593,30595,314,48,No
100873,53,95609,38440,349,48,No
100874,42,25209,13630,603,12,No
100875,41,146700,36250,786,24,No
100876,26,157605,33798,715,60,No
100877,26,106597,48036,604,36,No
100878,24,27211,38212,495,48,No
100879,50,29927,46925,687,60,Yes
100880,31,137333,16982,754,12,Yes
100881,50,175666,13655,609,24,No
100882,51,96382,23582,426,36,No
100883,44,159005,40055,474,12,No
100884,29,123780,49725,433,24,No
100885,23,60696,9008,365,12,Yes
100886,51,87616,49464,692,48,No
100887,60,157161,46872,664,48,No
100888,57,177195,5496,578,60,No
100889,56,158869,39231,662,12,No
100890,44,70013,28212,470,48,Yes
100891,51,159418,25637,350,24,No
100892,26,184744,21877,627,60,No
100893,22,168725,22810,444,36,No
100894,40,69556,14884,573,12,No
100895,48,143723,7723,454,48,Yes
100896,31,46140,9761,807,24,No
100897,24,21184,12630,662,12,No
100898,35,185565,21375,624,24,Yes
100899,26,195220,46509,597,60,No
100900,50,175918,30218,793,48,No
100901,58,131361,35565,845,48,No
100902,22,173267,42118,603,60,No
100903,35,25606,37975,766,24,No
100904,31,155028,32073,538,12,No
100905,28,36555,9190,816,24,No
100906,46,110385,6883,475,12,No
100907,64,169762,7886,709,60,No
100908,25,78502,13953,663,36,No
100909,26,199921,13381,322,12,No
100910,46,177419,28238,617,48,Yes
100911,24,123844,18795,824,48,No
100912,39,111321,35428,575,48,No
100913,40,69056,14638,528,24,Yes
100914,53,118234,9931,407,24,No
100915,40,61850,47623,475,24,No
100916,32,47843,43492,619,48,No
100917,21,82320,31411,585,12,No
100918,46,49793,25534,628,48,No
100919,34,190588,41828,655,12,No
100920,58,168929,34181,313,24,No
100921,57,39627,42533,574,36,No
100922,31,81822,24996,370,24,No
100923,56,75798,11553,494,60,No
100924,33,195188,45146,822,12,Yes
100925,63,95318,23073,405,36,No
100926,23,124186,12130,495,24,Yes
100927,53,107902,34405,444,36,No
100928,26,179629,40954,649,48,No
100929,30,91334,10789,723,12,Yes
100930,25,126719,33930,770,60,No
100931,43,143099,22529,515,48,Yes
100932,30,193686,12942,392,36,No
100933,64,32720,12548,559,24,No
100934,22,77608,23296,840,12,No
100935,33,127449,37244,584,60,Yes
100936,60,122828,5296,783,24,No
100937,22,146613,7409,671,60,No
100938,40,92095,39229,369,12,No
100939,21,125924,35846,678,36,No
100940,57,116452,40036,578,60,Yes
100941,29,107593,44322,601,12,No
100942,37,186964,32167,554,60,No
100943,29,126975,33991,563,24,No
100944,31,97242,22801,723,60,No
100945,35,136041,12358,512,24,No
100946,44,146202,27588,399,24,Yes
100947,58,97606,22671,411,12,Yes
100948,55,143769,22502,607,48,Yes
100949,50,138542,30128,774,60,Yes
100950,51,126438,36645,847,36,No
100951,25,20924,12637,411,24,No
100952,64,71322,5660,386,48,No
100953,34,177550,46675,482,24,No
100954,31,91042,11922,464,48,No
100955,29,66418,33161,389,48,No
100956,54,120699,49721,754,36,No
100957,32,110140,8970,537,48,No
100958,55,31781,8407,833,36,No
100959,55,156587,32843,357,12,Yes
100960,21,137358,14046,841,24,Yes
100961,60,56133,28800,701,36,No
100962,42,117628,19547,818,24,No
100963,49,96946,42528,496,60,No
100964,28,105058,36389,345,12,No
100965,31,160167,35346,829,60,No
100966,61,171542,27748,696,60,No
100967,57,63129,41855,373,48,No
100968,34,28531,30848,715,48,No
100969,50,57038,12607,634,60,No
100970,55,107939,41787,595,48,No
100971,41,62674,38583,383,24,No
100972,57,147572,17563,314,48,No
100973,25,49831,38690,433,60,No
100974,39,77174,34176,777,48,No
100975,34,31279,19925,618,48,No
100976,46,189292,26251,691,36,No
100977,24,80610,22648,778,36,No
100978,45,73051,25108,667,60,No
100979,62,76652,15979,666,24,No
100980,45,85524,7722,587,12,No
100981,38,26470,10355,677,12,No
100982,60,192870,33799,762,60,Yes
100983,28,73473,40318,312,24,Yes
100984,59,170952,37705,835,24,No
100985,60,64439,48909,467,24,No
100986,34,34308,28070,569,36,No
100987,52,111563,16284,369,60,No
100988,58,55081,26737,617,12,No
100989,53,29837,28241,675,24,No
100990,43,138128,32414,388,60,No
100991,35,187896,25895,556,12,No
100992,53,184145,31771,516,36,No
100993,45,132651,6384,749,48,No
100994,37,117624,27689,843,12,Yes
100995,53,177371,32475,440,12,Yes
100996,22,50063,13252,460,12,No
100997,34,89453,35844,331,48,No
100998,60,122166,35151,451,24,No
100999,60,34506,45006,559,48,No
101000,59,133604,28365,578,12,No
101001,26,46026,11026,584,36,No
101002,26,178744,37767,841,12,No
101003,23,189489,33523,447,36,Yes
101004,27,72413,15482,366,60,No
101005,28,85066,46432,578,36,No
101006,62,70971,30108,742,12,No
101007,35,178353,5493,698,48,No
101008,49,133978,21465,427,12,No
101009,53,179163,44767,636,12,No
101010,50,70494,34550,781,60,No
101011,59,123864,18833,485,24,No
101012,47,169682,7970,468,12,No
101013,56,152151,37779,559,60,Yes
101014,49,115386,34958,806,48,No
101015,58,197823,22145,820,60,No
101016,53,106126,40953,770,60,No
101017,57,182023,6806,460,36,No
101018,47,100863,10664,588,24,No
101019,53,98291,33900,639,24,No
101020,24,145659,19126,801,48,No
101021,42,27235,10154,405,60,No
101022,22,102733,27208,774,48,Yes
101023,30,82712,18767,762,48,No
101024,25,172545,25043,782,24,No
101025,30,145849,6525,452,24,No
101026,53,99823,38528,448,24,No
101027,58,124215,21978,487,12,Yes
101028,33,52230,6055,430,60,No
101029,51,104573,15046,751,48,No
101030,56,60644,40851,815,60,Yes
101031,44,199736,20678,790,48,Yes
101032,35,65203,49876,775,48,Yes
101033,49,86677,31624,562,48,No
101034,28,176497,47418,837,48,Yes
101035,25,143246,43725,758,36,No
101036,49,104817,10255,835,36,Yes
101037,24,89806,14411,594,12,No
101038,32,62814,47459,734,24,No
101039,22,90219,41163,574,48,No
101040,47,190956,38971,607,60,No
101041,51,115345,36235,675,36,No
101042,56,120088,24194,457,24,No
101043,56,89322,24476,503,12,No
101044,46,41650,8044,374,24,Yes
101045,63,114242,45040,679,48,No
101046,47,160262,26057,603,24,No
101047,25,58196,8514,361,48,Yes
101048,40,190521,14990,407,36,No
101049,31,190733,43960,486,36,No
101050,30,49709,48535,528,48,No
101051,60,100428,12507,347,60,No
101052,58,29943,9857,567,36,No
101053,26,194312,17118,553,60,No
101054,28,196832,8146,386,48,No
101055,43,41042,31401,480,48,No
101056,46,63894,31177,324,36,No
101057,63,157941,43524,687,60,No
101058,32,76759,9414,521,48,Yes
101059,46,125973,22494,696,36,No
101060,33,64306,25437,810,48,No
101061,60,128369,8937,739,24,No
101062,38,171990,41731,474,24,No
101063,45,48379,26326,610,36,Yes
101064,53,140667,43665,573,48,No
101065,60,154034,13974,334,36,Yes
101066,63,164923,22500,516,12,No
101067,32,137626,6750,707,36,Yes
101068,64,196819,9027,818,36,No
101069,56,145180,49296,568,24,No
101070,24,72349,10745,774,24,No
101071,25,165817,26448,624,48,No
101072,57,25730,47447,655,36,No
101073,28,164993,33451,389,36,No
101074,62,39023,33207,341,48,No
101075,48,196421,10938,664,60,No
101076,51,146796,17150,501,48,No
101077,29,101533,18406,665,24,No
101078,49,103286,24781,587,24,No
101079,34,61979,42621,780,36,No
101080,60,42837,23325,800,24,No
101081,61,166069,8148,351,48,No
101082,42,124975,33879,402,36,No
101083,31,196111,12933,660,48,No
101084,43,40923,14436,723,48,No
101085,21,28876,22669,504,36,No
101086,57,80973,11474,313,60,No
101087,41,153959,16228,769,24,No
101088,46,62422,38538,765,12,No
101089,56,71413,6843,603,12,No
101090,43,122484,5073,726,12,No
101091,21,153913,21059,409,24,No
101092,60,48756,25733,814,60,No
101093,35,91576,45768,367,48,No
101094,41,138248,30395,545,36,No
101095,29,30304,25202,688,60,No
101096,29,50341,18273,607,12,No
101097,30,155830,38099,651,24,No
101098,46,168082,12512,365,24,No
101099,61,147039,33231,759,36,No
101100,55,182730,28274,646,48,No
101101,45,152447,42699,624,60,No
101102,46,119485,27409,332,60,Yes
101103,31,42092,10113,367,60,No
101104,58,151562,46187,486,48,Yes
101105,22,23729,7881,491,48,No
101106,27,157046,24249,512,48,No
101107,38,138222,40343,727,36,No
101108,47,105216,17714,650,24,No
101109,54,103860,43953,407,12,No
101110,47,116870,13656,539,48,No
101111,37,41398,10741,515,24,No
101112,63,54650,21661,476,48,Yes
101113,64,172364,36555,629,12,No
101114,44,123889,33690,749,48,No
101115,45,23159,37833,746,24,No
101116,27,118162,42030,836,36,No
101117,26,122834,10704,478,12,No
101118,44,168137,46362,694,24,No
101119,53,41638,17175,444,60,No
101120,49,21073,17696,497,60,No
101121,63,197583,44023,383,60,No
101122,42,49320,45209,384,36,No
101123,46,54924,33054,756,48,No
101124,48,191806,26076,775,48,No
101125,41,88116,19986,552,48,Yes
101126,27,191097,19440,371,36,No
101127,37,22159,12960,522,60,No
101128,40,68940,27462,575,48,No
101129,61,99436,22821,545,36,No
101130,40,34678,32258,640,36,No
101131,42,198276,32353,770,24,No
101132,48,163093,28416,753,48,No
101133,60,157844,27115,306,60,No
101134,27,87163,29968,487,12,No
101135,21,174536,27731,303,36,Yes
101136,52,71137,27785,424,24,No
101137,33,181304,44397,314,12,No
101138,50,81497,18828,824,36,No
101139,43,120485,9541,539,24,No
101140,39,125468,45644,659,48,No
101141,52,20901,18311,817,24,No
101142,50,107980,35531,619,36,No
101143,49,127594,19588,530,48,Yes
101144,49,22881,17380,329,60,No
101145,50,49863,47645,833,24,No
101146,36,156694,22818,455,12,No
101147,60,152450,35857,698,48,No
101148,39,65201,26711,645,48,No
101149,38,79251,10097,494,60,Yes
101150,21,92572,33393,467,24,No
101151,34,59255,27076,676,12,No
101152,22,83212,23738,788,60,No
101153,48,70210,34317,661,24,No
101154,50,145629,44229,781,12,No
101155,58,42499,12044,543,12,No
101156,24,122552,10497,470,36,No
101157,21,81360,18751,812,12,Yes
101158,28,155675,34882,705,24,Yes
101159,49,147466,47072,506,60,Yes
101160,59,105473,48194,453,60,No
101161,23,163704,48826,347,36,Yes
101162,52,181679,27449,300,24,No
101163,30,111873,49028,706,12,No
101164,30,85756,38402,406,36,No
101165,39,198066,37543,472,48,No
101166,54,76344,34362,805,24,No
101167,53,158421,32315,429,36,No
101168,43,91154,32746,697,60,No
101169,48,47464,15057,593,36,Yes
101170,52,193696,47915,746,48,Yes
101171,27,141897,26061,315,24,No
101172,49,57344,39157,648,36,No
101173,28,103791,16322,502,12,Yes
101174,21,175371,9276,433,24,No
101175,23,199047,17306,825,36,No
101176,44,152534,39017,807,36,No
101177,43,140209,32742,365,24,No
101178,28,101441,36600,779,60,Yes
101179,57,110456,22629,758,12,No
101180,23,101788,13245,641,24,No
101181,53,191653,36414,458,12,No
101182,48,34175,48870,460,12,No
101183,28,157263,35098,553,24,No
101184,54,103434,15588,826,36,No
101185,55,104518,5442,848,60,No
101186,52,86537,44744,454,12,No
101187,44,135721,42443,785,12,No
101188,34,67645,16803,731,36,No
101189,52,43283,45721,326,24,No
101190,63,106971,42145,311,60,Yes
101191,36,112759,15599,366,12,No
101192,24,122780,12058,841,12,No
101193,57,181096,22206,395,24,Yes
101194,41,50734,16894,514,36,No
101195,34,20515,7939,493,48,No
101196,51,130782,27149,589,36,No
101197,38,86727,6031,843,12,No
101198,27,129164,15208,338,12,No
101199,30,66216,5562,505,60,No
101200,27,91833,48498,783,36,Yes
101201,53,78755,25951,636,48,No
101202,43,47856,33351,795,60,Yes
101203,41,93870,23680,548,48,No
101204,39,175234,26586,373,60,No
101205,39,157080,14308,672,36,No
101206,56,27987,14609,437,12,No
101207,49,116502,34495,756,48,No
101208,38,154404,22675,743,36,No
101209,22,86323,33064,652,48,Yes
101210,21,190062,13720,710,36,No
101211,25,29873,47940,837,60,No
101212,40,187516,19457,752,36,No
101213,31,186412,7939,718,60,No
101214,62,125219,43203,749,12,No
101215,22,25033,28365,414,60,No
101216,23,93324,10392,350,24,No
101217,43,35689,30905,668,12,No
101218,32,129756,12972,814,36,No
101219,40,20066,35653,509,36,No
101220,25,134159,31329,734,24,No
101221,57,196318,24184,526,36,No
101222,58,27533,19799,567,12,No
101223,50,135828,20052,415,12,No
101224,29,79658,11044,659,60,No
101225,54,58498,24871,628,48,No
101226,64,129028,28767,339,36,No
101227,55,31772,25234,481,24,No
101228,42,109385,26381,789,12,Yes
101229,64,32940,22274,508,12,No
101230,44,138027,27304,572,12,No
101231,37,36932,22572,418,48,No
101232,30,44648,43412,681,48,No
101233,50,52966,30965,835,36,No
101234,43,178849,23384,557,24,No
101235,52,183639,22855,782,48,No
101236,37,168246,22920,808,60,No
101237,37,62598,21702,391,48,No
101238,34,164870,42921,460,12,No
101239,29,168630,6894,448,24,No
101240,60,81084,35985,416,36,Yes
101241,22,195309,33287,757,48,No
101242,45,151250,12991,344,12,No
101243,59,37118,20439,533,60,No
101244,29,42616,34084,674,60,No
101245,42,151870,47235,846,36,No
101246,63,27601,32659,496,36,No
101247,24,45363,29976,324,48,No
101248,46,22795,43703,694,36,No
101249,49,117462,22107,335,12,No
101250,54,196336,7329,773,12,No
101251,43,122892,47095,522,12,No
101252,57,92833,7770,829,48,Yes
101253,31,23084,9846,487,48,Yes
101254,26,115865,21651,701,36,No
101255,38,20731,19633,556,48,No
101256,41,152201,18628,435,12,No
101257,62,179094,5569,743,24,No
101258,56,21605,6973,717,12,No
101259,61,97506,40590,591,24,No
101260,58,64130,38038,428,36,Yes
101261,54,180337,12641,640,60,No
101262,37,183402,13930,556,48,Yes
101263,57,88469,11680,399,48,No
101264,45,166259,6257,338,12,No
101265,58,176863,13250,562,12,No
101266,32,110436,43138,449,24,No
101267,43,132341,33757,629,48,No
101268,62,190939,9858,419,36,No
101269,42,151965,46349,518,12,No
101270,41,119694,18491,422,48,No
101271,47,39773,30294,543,60,No
101272,51,24239,11908,817,24,No
101273,26,40863,15844,320,12,Yes
101274,47,71415,42629,489,12,No
101275,60,88968,7911,524,36,Yes
101276,54,80430,13991,765,12,No
101277,32,21515,16572,398,48,No
101278,27,117206,48066,662,48,No
101279,30,165677,34693,382,48,No
101280,37,76240,45004,355,60,Yes
101281,46,25586,43333,321,60,No
101282,41,140419,22493,484,12,No
101283,48,142374,44697,821,60,No
101284,22,51186,22634,563,60,No
101285,63,46928,29561,524,36,Yes
101286,21,142990,23033,337,60,No
101287,56,107029,12351,422,24,No
101288,46,40711,30921,455,24,No
101289,49,74962,24340,600,24,Yes
101290,41,40039,19901,366,12,No
101291,31,56561,15638,693,48,No
101292,60,21577,43596,704,36,No
101293,31,127792,26378,748,12,No
101294,56,179422,49324,430,48,No
101295,59,184870,27820,368,36,No
101296,60,30785,30060,644,36,No
101297,55,92227,37642,619,36,Yes
101298,54,138680,30378,476,24,No
101299,44,81957,13150,828,24,No
101300,42,85431,47875,459,24,No
101301,25,168369,29059,832,36,Yes
101302,53,91894,39525,434,36,No
101303,56,170653,23193,410,24,No
101304,40,75192,48967,582,36,No
101305,39,21462,32801,819,24,No
101306,55,148848,31246,493,24,No
101307,63,166583,17807,346,24,No
101308,37,96106,22535,641,48,No
101309,63,68665,10492,541,36,No
101310,54,195486,36357,821,12,No
101311,29,101010,11302,669,24,No
101312,46,92573,37314,430,12,No
101313,22,127803,9747,569,48,No
101314,29,139682,46170,360,36,No
101315,29,33386,15686,463,24,Yes
101316,60,144069,42449,824,24,Yes
101317,37,74460,23891,571,24,No
101318,21,157293,41196,432,12,No
101319,45,174546,34928,543,48,No
101320,63,135375,12494,733,36,No
101321,60,132660,41723,337,48,No
101322,62,172117,34877,618,24,Yes
101323,45,111319,32981,809,48,Yes
101324,59,136582,19026,675,12,No
101325,55,155994,25422,773,60,Yes
101326,23,173778,14244,358,60,Yes
101327,57,62771,38481,798,36,No
101328,64,72335,28644,517,36,No
101329,64,72949,48848,428,48,No
101330,50,115558,13521,682,36,No
101331,58,166312,6746,687,12,No
101332,54,122272,22591,384,24,No
101333,32,22716,31718,809,24,No
101334,39,167646,7696,736,48,No
101335,57,195138,17012,592,24,Yes
101336,64,171285,19688,348,48,No
101337,37,91916,28457,366,36,No
101338,30,70906,10036,428,36,No
101339,32,20463,44895,328,12,No
101340,36,183045,34960,642,24,No
101341,44,94694,41486,844,12,No
101342,39,171723,27159,418,60,No
101343,28,88694,12910,432,12,No
101344,51,40008,7693,626,48,No
101345,41,90474,20858,484,48,No
101346,37,58185,33810,805,12,No
101347,43,107924,25092,833,36,No
101348,57,54980,28243,540,60,No
101349,36,42504,35505,815,12,Yes
101350,26,74970,12692,464,36,No
101351,28,36766,33555,517,12,No
101352,45,136944,11398,304,24,No
101353,38,113922,12252,380,48,No
101354,45,162767,16721,546,24,No
101355,32,168868,22939,792,24,No
101356,35,193615,16825,685,60,No
101357,46,165631,30251,606,36,No
101358,61,184211,41955,842,48,No
101359,46,140494,29151,306,24,No
101360,52,28802,5036,814,48,No
101361,30,191277,33412,372,36,No
101362,36,54159,23171,309,12,No
101363,27,31516,44051,421,24,No
101364,37,70492,37761,812,36,Yes
101365,43,49086,20202,740,48,No
101366,46,133758,13060,337,36,No
101367,41,50480,13065,644,12,No
101368,42,148023,34873,637,36,No
101369,27,130195,41648,483,48,No
101370,34,198838,10932,366,24,Yes
101371,35,58737,31470,316,24,No
101372,27,29265,13328,682,60,No
101373,29,134165,11333,667,48,Yes
101374,28,139501,16268,615,60,No
101375,43,90990,10067,796,60,No
101376,49,35386,49843,644,12,No
101377,38,124718,22045,772,48,No
101378,51,57425,45741,414,24,No
101379,50,141635,27770,399,48,Yes
101380,59,194326,47770,737,12,No
101381,55,73634,12887,644,48,Yes
101382,38,198734,38182,648,48,No
101383,62,106988,37370,438,60,Yes
101384,59,126337,44618,623,48,No
101385,37,161215,29918,601,60,No
101386,34,166653,40497,593,60,No
101387,51,87443,33026,828,36,No
101388,44,49424,16929,591,12,No
101389,55,108844,41665,373,60,No
101390,64,61984,39937,783,48,No
101391,54,61505,18563,315,60,Yes
101392,23,122478,33546,825,60,Yes
101393,57,82699,17888,635,60,No
101394,63,178029,42338,815,24,No
101395,60,176536,39283,426,24,Yes
101396,46,134012,21958,817,24,Yes
101397,43,174721,17634,428,24,Yes
101398,64,193137,24251,810,36,No
101399,59,54758,24928,722,60,No
101400,35,156668,42245,684,36,No
101401,24,36374,21455,531,48,Yes
101402,49,138686,32144,494,12,Yes
101403,42,23775,33013,364,36,No
101404,45,47388,26876,576,24,No
101405,33,143800,31962,523,24,No
101406,38,41029,33084,577,48,Yes
101407,53,103981,47319,665,60,No
101408,36,73639,26143,815,12,No
101409,62,134010,31091,514,36,No
101410,64,165717,19179,738,60,No
101411,22,51105,37807,727,60,No
101412,55,164740,15222,695,36,No
101413,62,167032,28949,508,36,No
101414,54,146519,21116,800,36,No
101415,50,162429,42564,762,36,No
101416,33,122739,42374,526,24,No
101417,33,71796,22667,674,60,No
101418,38,35804,13775,799,60,No
101419,52,147732,34655,392,24,No
101420,52,165698,19193,759,60,No
101421,55,179204,19676,620,36,Yes
101422,59,27951,35776,309,12,No
101423,49,157521,48225,602,60,Yes
101424,49,39065,22199,621,12,No
101425,64,121503,20066,755,12,No
101426,36,125072,23895,577,24,No
101427,64,160202,5246,837,48,No
101428,30,109360,26209,692,60,No
101429,50,82287,44284,394,24,No
101430,45,188065,21800,406,24,No
101431,59,182947,28086,689,12,No
101432,40,157126,25101,825,60,No
101433,25,127357,21491,370,24,No
101434,21,199589,32207,675,36,No
101435,50,49670,46798,667,24,No
101436,23,69112,25897,350,36,No
101437,34,108388,34492,442,48,Yes
101438,50,109156,6421,718,36,No
101439,24,179379,37015,847,36,No
101440,38,67922,17970,799,12,No
101441,57,113348,12283,466,24,No
101442,45,99335,33488,559,48,No
101443,21,46312,20945,491,24,No
101444,35,86985,5255,501,36,No
101445,29,150744,16019,484,36,No
101446,35,120963,20487,457,24,No
101447,44,191349,46797,398,48,No
101448,24,51551,24346,540,48,No
101449,32,109813,40050,790,12,No
101450,57,121025,13744,501,36,No
101451,57,144342,29756,808,36,No
101452,63,196284,22861,395,12,No
101453,26,29637,30146,789,24,No
101454,59,63258,47687,517,36,No
101455,44,186765,26976,826,24,No
101456,31,160896,5591,572,48,No
101457,33,149553,11277,518,60,No
101458,54,46950,7260,631,12,Yes
101459,45,174560,48907,752,36,No
101460,27,147870,5347,451,12,Yes
101461,24,20215,29741,646,48,Yes
101462,28,125603,42211,713,48,No
101463,40,31523,48856,826,48,Yes
101464,49,88689,46542,730,48,No
101465,30,43834,11869,678,60,No
101466,63,54474,33082,727,24,Yes
101467,54,63066,27080,383,24,No
101468,46,30400,33979,491,60,No
101469,61,145211,24422,340,24,No
101470,23,30345,40613,608,48,No
101471,26,53896,27993,677,24,No
101472,25,48899,17386,435,12,No
101473,25,48229,39033,405,24,Yes
101474,43,25583,17938,818,12,No
101475,29,155969,16159,841,36,No
101476,55,91537,7274,425,12,No
101477,40,155639,23854,656,12,No
101478,62,94807,36815,699,48,No
101479,55,149648,15482,378,48,Yes
101480,38,132652,23961,688,48,No
101481,37,164401,25044,834,12,No
101482,44,91792,38836,373,60,No
101483,23,151300,26975,304,48,Yes
101484,52,57052,19706,762,48,No
101485,55,66032,10974,381,12,Yes
101486,58,53686,15928,836,36,No
101487,33,96981,26213,704,36,No
101488,45,118802,6950,813,24,No
101489,29,153881,24477,577,36,Yes
101490,24,192857,15411,523,48,No
101491,34,187619,26695,367,60,No
101492,57,62818,22771,619,24,Yes
101493,54,120422,9274,318,60,Yes
101494,31,91927,40053,642,60,No
101495,61,99465,12045,642,48,No
101496,23,133221,34714,396,12,Yes
101497,48,57333,39386,351,12,No
101498,49,146457,48747,474,12,No
101499,29,36576,13562,637,36,Yes
101500,23,139875,32759,652,12,No
101501,45,59405,17026,690,48,Yes
101502,54,114000,45611,414,36,Yes
101503,32,51601,36589,647,12,Yes
101504,62,87946,47663,300,60,No
101505,29,72116,36738,362,48,No
101506,35,124186,31844,525,48,No
101507,60,82894,28447,722,24,No
101508,45,185707,29879,318,48,No
101509,25,27465,16966,330,60,No
101510,31,76754,22732,323,48,No
101511,54,112850,10289,510,24,No
101512,44,129765,25012,460,48,No
101513,35,112691,23812,554,48,No
101514,58,58871,40801,413,24,No
101515,28,49511,46628,803,48,No
101516,25,100960,45581,519,36,No
101517,46,199893,28092,656,48,No
101518,38,85776,30105,468,12,No
101519,26,64462,19294,823,12,Yes
101520,57,52574,8621,541,36,No
101521,33,122072,37442,674,48,No
101522,48,192982,26699,438,60,No
101523,25,176258,7347,396,48,Yes
101524,33,173885,34486,446,12,No
101525,37,98282,22110,481,24,No
101526,60,129779,9923,356,36,Yes
101527,52,38557,20611,341,24,Yes
101528,49,179132,24199,842,60,No
101529,23,92104,14066,301,48,Yes
101530,60,157152,41047,587,60,Yes
101531,54,164926,31754,437,24,No
101532,60,142013,41575,811,48,No
101533,47,178097,29260,521,60,No
101534,33,61081,21991,630,12,No
101535,53,155440,27553,703,12,No
101536,26,139181,29174,807,36,No
101537,44,47094,26957,426,12,No
101538,39,197112,5634,564,12,No
101539,36,86766,34881,314,24,No
101540,60,103053,17771,525,12,No
101541,48,175063,23298,404,12,No
101542,53,21301,19340,792,24,No
101543,61,179682,38356,618,12,No
101544,33,101463,40999,518,12,No
101545,63,185750,11351,576,36,No
101546,45,44466,8838,640,12,No
101547,62,191947,6973,751,12,Yes
101548,56,46081,42812,668,36,Yes
101549,47,44354,15247,773,24,Yes
101550,58,113297,49440,489,12,No
101551,27,38300,36655,718,60,Yes
101552,25,84384,48039,794,24,No
101553,63,115027,11683,338,24,No
101554,51,141684,16244,461,12,No
101555,43,80892,34058,420,36,No
101556,62,55525,44551,698,24,No
101557,30,177604,43362,561,36,No
101558,52,26464,33371,428,60,No
101559,63,36562,8822,839,36,No
101560,50,127392,33878,655,48,Yes
101561,59,75514,41157,731,36,Yes
101562,51,133428,10914,364,24,No
101563,38,132564,23164,517,36,No
101564,56,128047,32180,726,36,Yes
101565,22,52634,8688,373,48,No
101566,34,20060,19683,759,48,No
101567,33,29269,18080,724,12,No
101568,49,43065,35953,491,24,Yes
101569,32,22895,14916,488,12,No
101570,59,100859,34677,311,48,Yes
101571,22,163424,32360,538,36,No
101572,52,124127,42805,752,48,No
101573,33,116426,18453,682,60,Yes
101574,47,183088,27703,347,36,No
101575,61,31962,13640,616,12,Yes
101576,37,53302,34263,508,36,No
101577,60,105382,37849,846,60,No
101578,51,24011,44046,418,48,No
101579,54,149716,21078,614,24,No
101580,44,39782,28383,335,24,No
101581,55,140654,20536,762,24,No
101582,26,190797,12410,702,48,No
101583,39,29196,20926,406,24,Yes
101584,50,63459,39248,338,60,No
101585,27,107245,36159,479,48,No
101586,30,98863,47039,311,24,No
101587,61,143206,41366,638,12,Yes
101588,52,121010,45761,847,48,Yes
101589,54,52769,34090,425,48,No
101590,48,127529,25567,362,36,No
101591,35,44700,48663,381,24,No
101592,50,25269,20367,598,12,No
101593,57,141631,45412,333,60,Yes
101594,49,63880,49716,348,48,No
101595,42,134003,40367,356,60,No
101596,24,159392,10813,408,60,Yes
101597,40,69589,41621,816,60,Yes
101598,52,55897,39269,323,36,No
101599,56,182002,46190,520,60,No
101600,24,34380,45318,614,24,No
101601,47,90934,42018,593,24,No
